Starting 5-minute BTC/USDT (Binance Perpetual) frame tracking...
Signal threshold: ±$180 price change per frame
--------------------------------------------------------------------------------

[NEW FRAME] Now: 16:36:38 | Frame: 16:35:00 | Frame Start Price: $69,647.20
[16:48:49] Frame: 16:45:00 | BTC: $69,562.10 | Change: -47.90 / ±$180
[16:48:52] Frame: 16:45:00 | BTC: $69,578.50 | Change: -31.50 / ±$180
[16:48:55] Frame: 16:45:00 | BTC: $69,582.40 | Change: -27.60 / ±$180
[16:48:58] Frame: 16:45:00 | BTC: $69,582.70 | Change: -27.30 / ±$180
[16:49:01] Frame: 16:45:00 | BTC: $69,585.90 | Change: -24.10 / ±$180
[16:49:05] Frame: 16:45:00 | BTC: $69,599.70 | Change: -10.30 / ±$180
[16:49:09] Frame: 16:45:00 | BTC: $69,599.70 | Change: -10.30 / ±$180
[16:49:12] Frame: 16:45:00 | BTC: $69,612.10 | Change: +2.10 / ±$180
[16:49:15] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:18] Frame: 16:45:00 | BTC: $69,616.00 | Change: +6.00 / ±$180
[16:49:21] Frame: 16:45:00 | BTC: $69,618.00 | Change: +8.00 / ±$180
[16:49:24] Frame: 16:45:00 | BTC: $69,617.90 | Change: +7.90 / ±$180
[16:49:27] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:30] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:33] Frame: 16:45:00 | BTC: $69,622.90 | Change: +12.90 / ±$180
[16:49:36] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:39] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:43] Frame: 16:45:00 | BTC: $69,622.90 | Change: +12.90 / ±$180
[16:49:47] Frame: 16:45:00 | BTC: $69,628.00 | Change: +18.00 / ±$180
[16:49:49] Frame: 16:45:00 | BTC: $69,631.30 | Change: +21.30 / ±$180
[16:49:52] Frame: 16:45:00 | BTC: $69,631.30 | Change: +21.30 / ±$180
[16:49:55] Frame: 16:45:00 | BTC: $69,631.40 | Change: +21.40 / ±$180
[16:49:59] Frame: 16:45:00 | BTC: $69,631.40 | Change: +21.40 / ±$180

[NEW FRAME] Now: 16:50:02 | Frame: 16:50:00 | Frame Start Price: $69,635.10
[16:50:02] Frame: 16:50:00 | BTC: $69,635.10 | Change: +0.00 / ±$180
[16:50:05] Frame: 16:50:00 | BTC: $69,635.10 | Change: +0.00 / ±$180
[16:50:08] Frame: 16:50:00 | BTC: $69,645.90 | Change: +10.80 / ±$180
[16:50:11] Frame: 16:50:00 | BTC: $69,642.50 | Change: +7.40 / ±$180
[16:50:15] Frame: 16:50:00 | BTC: $69,642.50 | Change: +7.40 / ±$180
[16:50:18] Frame: 16:50:00 | BTC: $69,639.00 | Change: +3.90 / ±$180
[16:50:21] Frame: 16:50:00 | BTC: $69,632.40 | Change: -2.70 / ±$180
[16:50:24] Frame: 16:50:00 | BTC: $69,632.40 | Change: -2.70 / ±$180
[16:50:27] Frame: 16:50:00 | BTC: $69,631.20 | Change: -3.90 / ±$180
[16:50:30] Frame: 16:50:00 | BTC: $69,628.40 | Change: -6.70 / ±$180
[16:50:33] Frame: 16:50:00 | BTC: $69,628.40 | Change: -6.70 / ±$180
[16:50:36] Frame: 16:50:00 | BTC: $69,630.40 | Change: -4.70 / ±$180
[16:50:39] Frame: 16:50:00 | BTC: $69,630.40 | Change: -4.70 / ±$180
[16:50:42] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:46] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:51] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:54] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:56] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:50:59] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:02] Frame: 16:50:00 | BTC: $69,645.20 | Change: +10.10 / ±$180
[16:51:05] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:08] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:11] Frame: 16:50:00 | BTC: $69,635.80 | Change: +0.70 / ±$180
[16:51:14] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:17] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:20] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:24] Frame: 16:50:00 | BTC: $69,629.70 | Change: -5.40 / ±$180
[16:51:27] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:30] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
